Constraints,Affine Map,PEG LDPC,Dense Parity,Sparse Parity
38,59.04467204865068,56.25261433886314,1.7517698973883822,-1.1482185953978759
39,59.58450441760942,57.44282057343176,4.073319081208327,2.81923913616005
40,57.01278346567415,51.36814058109487,2.6605910232527603,0.4522898820615414
41,56.68615391664207,52.5562744890798,4.829626180853151,-0.2138986422136819
42,54.543772340519354,50.37549614750514,-2.837429558394703,4.066135015718186
43,53.52037511905655,51.66862793573059,0.05446304520458817,1.8171011442319023
44,53.99961207387969,43.452774065418545,6.068071573119999,3.2763713546721576
45,52.55716964742169,46.5626454920163,1.088641508701748,5.611353819924631
46,51.54505157400854,43.910758240415056,1.053055056089525,3.281828481342554
47,53.63080733898096,41.00927076473325,0.03670666025996459,1.150065268642457
48,52.22335084644146,48.490139473361616,-2.120296338936986,3.7262504301413344
49,51.890131805092096,42.07214404365931,-0.753693665564276,-4.5139187387527375
50,51.68101538694464,41.658369502448274,3.1585711013145827,-2.1893992201628305
51,50.02414998365566,35.605794327004126,-0.7618402116232891,-1.4821717217751744
52,50.13586744386703,39.39170473690494,2.818479283079362,-0.5273081043912874
53,48.92265337589197,42.382762772704204,3.190024413684881,3.402553017768232
54,47.753420050721616,29.82377289998678,1.4967908345305934,-1.2408101471573525
55,50.28014322696254,34.5737756883242,-1.4216160364145238,0.026179701731814404
56,48.32273807446472,36.2385447105589,-5.117196033117178,-1.1556375245675026
57,46.128551931353286,33.65389294367308,-2.2014463453693756,1.5959562667305682
58,46.844548483146355,30.96148019443514,3.417381665767113,2.115803995420555
59,45.701005140086636,33.40636504617622,-5.025622223968805,1.5280484271679877
60,45.00478856009431,27.358164782408757,4.8331261101945024,5.633090223202493
61,47.147762009641156,29.15141805283252,2.1085462472074377,0.6520276259533099
62,43.359901764430106,29.186647604755326,0.633445764252848,-2.8476760620585266
63,44.77446904499084,27.981244308572947,-1.297789917868583,4.842152243759039
64,42.28972390969284,25.727243761041073,-0.7791855851288131,1.797077864263226
65,42.856798394350335,22.508437033693767,5.529658100825201,-1.857050995595349
66,40.78453001426533,20.129290986357667,-2.971969605378345,4.567684100674149
67,40.72072164854035,20.68997045650172,-0.4142972280271397,2.6555023101972433
68,42.53779991576448,19.470199029339053,-4.4024736202518255,-4.059411467246643
69,39.77351803542115,16.526597272306397,-1.6821903810482883,3.0341854545910443
70,41.301986041944474,18.325860289822874,2.1524150983991603,2.1460806868083337
71,39.17884469637647,19.416065253802763,0.32071556467767565,1.8146696143737007
72,37.53453421709128,15.401876557782524,0.6734669957541776,0.8041571204623337
73,39.33243985893205,15.342930379401876,3.5059621142945945,-1.806007289253857
74,38.301234210142866,9.367376675318377,-0.8842064912202716,0.469865514076365
75,38.45064475899562,8.816437140117692,3.6680641048413754,9.163620920439334
76,35.88033228437416,8.532919837617335,4.541687914974246,-4.110620959714831
77,36.785024841316044,2.815647103414979,-1.2919597724131222,1.2124860479284327
78,35.32677142415196,6.29982676272985,-6.078318076783822,-1.5718896473385944
79,34.892845917260274,6.516960536999188,1.0053500981328742,2.265879584026628
80,33.905146709643304,2.928450747120758,-2.9929231297245904,4.654238274319796
81,33.06253570551053,0.13103666376465167,9.21572842109379,4.978695539773586
82,33.02212990587577,-4.524050113161912,7.905304218819948,1.2480932238064926
83,33.782544772839174,9.49397280373119,6.8168952712125925,-0.1597130585127995
84,33.19730264903046,4.884934274786869,5.222170887506777,1.3953665663543917
85,33.288220256567,2.489831312756322,8.753599592929884,2.184243732139617
86,30.367156405583955,-3.1964946777961942,11.326162788077482,1.0737414805649834
87,30.518482113373466,3.0585007531730612,10.73925687372423,4.855714469956774
88,26.704123614239506,2.4824400146078105,14.609879389196292,3.2300433426011175
89,25.791886441176757,-3.27941076699491,15.431441750376568,2.4974068177122724
90,26.224904289119877,3.7336417282898453,17.70759316650304,3.3421792366299274
91,23.55044419504702,1.9004455142579149,22.70590673126894,-1.7042744746751939
92,20.724479723838158,0.7413103629341541,19.68473088245331,-2.480782153340855
93,20.66647459892556,-2.951752908261857,20.93719901793649,-3.7991733000364563
94,18.353691332042217,-0.37996568429059846,20.47334325095284,3.04341882081395
95,16.70409373694565,0.5313859825909799,18.62054513002425,-0.3665139821773273
96,12.778876611730084,5.20900010077485,13.034197384209536,0.0
97,12.335025909647811,1.9422788802274304,12.286110513346701,0.0
98,6.713847782986704,4.960620246793583,6.046012807929116,0.5516878753559085
99,3.089515124243917,-0.3449917193131119,1.0160225800389018,-0.9696554240212806
100,1.5720620215070085,0.0,0.0,2.2761145747649865
